Word,Frequency
cancer,656
candidly,230
cap,2075
capable,789
capital,3454
capitalise,217
capitalised,308
capitalising,164
capitalize,740
capitalized,776
capitalizing,249
captain,15144
captaincy,2205
captained,476
caption,825
captivating,439
captured,772
capturing,409
card,2548
career,16224
careful,346
carefully,318
caribbean,624
carlo,580
carlos,1474
carnage,76
carry,1385
carvajal,99
carve,51
case,3236
casper,414
casualty,84
catch,3475
catching,414
category,3167
cause,906
caused,1030
celebrated,2372
celebrating,937
cemented,445
cementing,456
central,754
centre,2281
century,5178
ceremonial,55
certain,1680
certainly,1347
chahal,1245
chahar,734
chakaravarthy,363
chaliha,452
challenge,9437
challenger,3526
challenging,3861
chameera,169
champion,30004
championship,16677
chan,155
chance,8982
chandigarh,740
change,6768
changed,1791
changeover,99
changsha,14
chaos,514
chapter,1258
characteristic,134
characterized,147
charge,2010
charles23,11
charter,111
chase,3045
chasing,1171
chat,844
chawla,273
check,755
cheekily,70
cheer,942
cheerfulness,1
chelsea,1402
chen,774
chengdu,431
chennai,4134
chepauk,354
chernyshov,65
chetan,167
cheteshwar,160
chhetri,817
chhikara,27
chia,141
chidambaram,782
chief,11406
chiew,68
chiharu,201
child,3103
childhood,532
china,5634
chinaman,58
chinaswammy,3
chinese,3767
chinnaswamy,461
chip,330
chipped,301
chirag,3757
choice,1869
choke,44
choose,628
chose,1224
chou,127
choudhary,860
chris,1643
christian,765
christie,335
christopher,165
chuahan,12
ci,86
cinema,90
circle,997
circuit,1168
circulated,95
circus,66
citing,791
citizen,88
city,11208
claim,3029
claimed,3460
claiming,1727
clash,4884
clashed,190
clasico,138
classic,722
claudio,29
clawed,76
clawing,51
clay,1177
clean,712
clear,4309
clearly,1153
clever,199
clifford,20
climax,160
clinch,1482
clinched,2187
clinching,1154
clinical,549
clip,836
clock,420
close,6204
closed,652
closely,1559
closer,1317
closing,854
cloud,241
clown,76
club,7388
coach,23196
coached,495
coaching,3495
coast,253
cobb,17
cobolli,127
code,485
coetzee,326
coinciding,59
cold,833
collaboration,634
collided,75
collin,119
collision,166
cologne,113
coman,14
combination,1899
combine,538
combined,1059
come,14825
comeback,4969
comfortable,1401
comfortably,664
comical,39
coming,5403
commanding,1840
commence,945
commenced,387
commences,110
commendable,523
comment,3610
commentary,753
commentator,761
commented,946
commitment,2421
committee,2494
committing,212
common,503
commonwealth,1134
communication,517
company,3394
compared,1261
compass,13
compatriot,612
compete,3166
competing,2165
competition,6030
competitive,3287
competitiveness,160
competitor,1264
complete,2076
completed,1420
completes,68
composed,674
composure,1254
compounded,137
